question_id	question_rank	document_title	paragraph_index
160	3	North_Carolina	60
160	4	Airport	22
160	5	Richmond,_Virginia	58
163	1	Oklahoma	5
163	2	North_Carolina	1
163	3	Animal	4
163	4	Geography_of_the_United_States	6
163	5	Animal	9
166	1	New_York_City	82
166	2	New_York_City	0
166	3	New_York_City	130
166	4	New_York_City	79
166	5	New_York_City	147
169	1	Muammar_Gaddafi	60
169	2	Muammar_Gaddafi	68
169	3	Muammar_Gaddafi	59
169	4	Muammar_Gaddafi	46
169	5	Muammar_Gaddafi	34
172	1	Crucifixion_of_Jesus	19
172	2	Dominican_Order	35
172	3	Korean_War	45
172	4	The_Blitz	4
172	5	Montevideo	7
175	1	Financial_crisis_of_2007%E2%80%9308	57
175	2	Szlachta	59
175	3	Szlachta	24
175	4	Dominican_Order	35
175	5	Szlachta	31
178	1	New_Haven,_Connecticut	3
178	2	New_Haven,_Connecticut	62
178	3	New_Haven,_Connecticut	41
178	4	New_Haven,_Connecticut	65
178	5	New_Haven,_Connecticut	43
181	1	The_Bronx	4
181	2	The_Bronx	20
181	3	The_Bronx	52
181	4	The_Bronx	6
181	5	The_Bronx	51
184	1	Russian_Soviet_Federative_Socialist_Republic	2
184	2	Russian_Soviet_Federative_Socialist_Republic	14
184	3	Dissolution_of_the_Soviet_Union	0
184	4	Dissolution_of_the_Soviet_Union	64
184	5	Black_people	31
187	1	Catalan_language	20
187	2	Catalan_language	68
187	3	Catalan_language	32
187	4	Catalan_language	30
187	5	Catalan_language	25
190	1	Cotton	15
190	2	Cotton	7
190	3	Cotton	16
190	4	Cotton	17
190	5	Cotton	8
193	1	Plymouth	58
193	2	Plymouth	42
193	3	Religion_in_ancient_Rome	77
193	4	Multiracial_American	1
193	5	Alaska	44
196	1	Tibet	7
196	2	Hokkien	1
196	3	Multiracial_American	26
196	4	Korean_War	11
196	5	Chinese_characters	4
199	1	San_Diego	29
199	2	San_Diego	27
199	3	San_Diego	45
199	4	San_Diego	5
199	5	San_Diego	3
202	1	Identity_(social_science)	5
202	2	Adolescence	26
202	3	Adolescence	11
202	4	Identity_(social_science)	18
202	5	Buddhism	28
205	1	Alexander_Graham_Bell	43
205	2	Alexander_Graham_Bell	31
205	3	Alexander_Graham_Bell	33
205	4	Alexander_Graham_Bell	32
205	5	Alexander_Graham_Bell	47
208	1	New_Delhi	33
208	2	Somerset	25
208	3	Portugal	93
208	4	Charleston,_South_Carolina	31
208	5	Nanjing	52
211	1	High-definition_television	11
211	2	High-definition_television	35
211	3	High-definition_television	12
211	4	High-definition_television	32
211	5	High-definition_television	42
214	1	Brigham_Young_University	9
214	2	Brigham_Young_University	32
214	3	Brigham_Young_University	12
214	4	Brigham_Young_University	34
214	5	Brigham_Young_University	8
217	1	Cubism	34
217	2	Cubism	30
217	3	Cubism	32
217	4	Cubism	28
217	5	Neoclassical_architecture	19
220	1	Memory	17
220	2	Memory	11
220	3	Memory	24
220	4	Memory	9
220	5	Memory	8
223	1	Crucifixion_of_Jesus	19
223	2	Dominican_Order	35
223	3	Gamal_Abdel_Nasser	30
223	4	John_Kerry	41
223	5	Korean_War	45
226	1	Pub	76
226	2	Pub	51
226	3	Pub	86
226	4	Pub	77
226	5	Pub	8
229	1	Crucifixion_of_Jesus	3
229	2	Crucifixion_of_Jesus	8
229	3	Crucifixion_of_Jesus	1
229	4	Crucifixion_of_Jesus	20
229	5	Crucifixion_of_Jesus	5
232	1	Materialism	6
232	2	2008_Sichuan_earthquake	59
232	3	Saint_Barth%C3%A9lemy	5
232	4	Neolithic	1
232	5	American_Idol	69
235	1	List_of_numbered_streets_in_Manhattan	0
235	2	List_of_numbered_streets_in_Manhattan	3
235	3	List_of_numbered_streets_in_Manhattan	2
235	4	List_of_numbered_streets_in_Manhattan	1
235	5	List_of_numbered_streets_in_Manhattan	7
238	1	Queen_Victoria	28
238	2	Queen_Victoria	15
238	3	Southampton	89
238	4	Queen_Victoria	12
238	5	Queen_Victoria	14
241	1	USB	33
241	2	USB	26
241	3	USB	24
241	4	USB	22
241	5	USB	8
244	1	British_Isles	28
244	2	British_Isles	25
244	3	British_Isles	24
244	4	Federalism	33
244	5	British_Isles	2
247	1	To_Kill_a_Mockingbird	10
247	2	To_Kill_a_Mockingbird	9
247	3	To_Kill_a_Mockingbird	11
247	4	To_Kill_a_Mockingbird	25
247	5	To_Kill_a_Mockingbird	53
250	1	Plymouth	78
250	2	Madonna_(entertainer)	4
250	3	Cyprus	41
250	4	Plymouth	79
250	5	John_Kerry	3
253	1	Samurai	18
253	2	Samurai	43
253	3	Samurai	40
253	4	Samurai	44
253	5	Modern_history	7
256	1	University	12
256	2	London	56
256	3	Israel	53
256	4	University	11
256	5	Gothic_architecture	34
259	1	Planck_constant	21
259	2	Planck_constant	17
259	3	Planck_constant	20
259	4	Planck_constant	13
259	5	Planck_constant	16
262	1	Group_(mathematics)	6
262	2	Gene	4
262	3	Phonology	5
262	4	Emotion	33
262	5	Alexander_Graham_Bell	10
265	1	Dog	50
265	2	Dog	28
265	3	Dog	32
265	4	Dog	15
265	5	Dog	68
268	1	Jehovah%27s_Witnesses	11
268	2	Presbyterianism	26
268	3	Jehovah%27s_Witnesses	12
268	4	Jehovah%27s_Witnesses	15
268	5	Adolescence	29
271	1	Mexico_City	0
271	2	Mexico_City	24
271	3	Mexico_City	12
271	4	Mexico_City	56
271	5	Mexico_City	2
274	1	Wood	20
274	2	Wood	17
274	3	Wood	16
274	4	Wood	8
274	5	Symbiosis	17
277	1	Somalis	33
277	2	Dutch_Republic	1
277	3	Thuringia	2
277	4	Wood	53
277	5	Department_store	14
280	1	Buddhism	13
280	2	Buddhism	89
280	3	Buddhism	12
280	4	Buddhism	97
280	5	Buddhism	14
283	1	Detroit	38
283	2	Detroit	39
283	3	Detroit	6
283	4	Detroit	2
283	5	Detroit	45
286	1	East_India_Company	24
286	2	Dutch_Republic	15
286	3	East_India_Company	30
286	4	East_India_Company	28
286	5	History_of_India	64
289	1	Steven_Spielberg	1
289	2	Steven_Spielberg	37
289	3	Steven_Spielberg	8
289	4	Steven_Spielberg	9
289	5	Steven_Spielberg	2
292	1	Raleigh,_North_Carolina	9
292	2	North_Carolina	54
292	3	North_Carolina	52
292	4	North_Carolina	56
292	5	North_Carolina	30
295	1	Antarctica	3
295	2	Biodiversity	20
295	3	Multiracial_American	1
295	4	Incandescent_light_bulb	37
295	5	Madrasa	27
298	1	Cyprus	20
298	2	Cyprus	40
298	3	Cyprus	12
298	4	Cyprus	16
298	5	Cyprus	2
